BRAND_DES;BRAND_CLUSTER
JUICY COUTURE;US
TOMMY HILFIGER;CONTEMPORARY E LIFESTYLE
KATE SPADE;PREMIUM
MARC JACOBS;PREMIUM
POLAROID;MASS COOL
CARRERA;CONTEMPORARY E LIFESTYLE
SEVENTH STREET;CONTEMPORARY E LIFESTYLE
MOSCHINO LOVE;CONTEMPORARY E LIFESTYLE
CHESTERFIELD;US
PIERRE CARDIN;CONTEMPORARY E LIFESTYLE
POLAROID KIDS;MASS COOL
FOSSIL;CONTEMPORARY E LIFESTYLE
LIZ CLAIBORNE;US
HUGO;CONTEMPORARY E LIFESTYLE
HUGO BOSS;PREMIUM
SMITH;PERFORMANCE: 
ELASTA;US
EMOZIONI;US
ADENSCO;US
LEVI'S;CONTEMPORARY E LIFESTYLE
MISSONI;HIGH END
DAVID BECKHAM;PREMIUM
SAFILO;US
UNDER ARMOUR;PERFORMANCE: 
ISABEL MARANT;HIGH END
DSQUARED2;HIGH END
CARRERA DUCATI;CONTEMPORARY E LIFESTYLE
CAROLINA HERRERA;PREMIUM
CHIARA FERRAGNI;US
MOSCHINO;HIGH END
PRIVE' REVAUX;MASS COOL
BLUE BAY;US
ETRO;HIGH END
STUART WEITZMAN;US
POLAROID ANCILLARIES;MASS COOL
