SKU_COD,BRAND_DES,MD_SKU_STATUS_COD,PRODUCT_TYPE_COD,COLOR,COLOR_FAMILY_1_DES,ZLENSCODE,MODEL_COD,filename_root,USERGENDER_DES_PRECISE,USERGENDER_DES,CTM_FIRST_FRONT_MATERIAL_DES,CTM_FIRST_TEMPLE_MATERIAL_DES,SIZE_COD,FRONT_LENGTH_VAL,LENSHEIGHTVAL,BRIDGE_LENGTH_VAL,FRONT_HEIGHT_VAL,STARTSKU_DATE,ACT_SKU_PRICE_VAL,MACRO_SHAPE_AWS,GRANULAR_SHAPE_AWS,SHAPE_SEMI_GROUPED,FlatTop_FlatTop_1,browline_browline_1,bridge_Bridge_1,RIM_TYPE_DES
100075PJP5417,TOMMY HILFIGER,IL,1,PJP,BL,00,100075,1000750PJP00,MAN,MAN,METAL,INJECTED,54,140.08178025034766,32.0,17,41.65118219749656,2017-01-01,178.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
100138OO45215,KATE SPADE,IL,1,OO4,HV,00,100138,1001380OO400,WOMAN,WOMAN,ACETATE,ACETATE,52,134.0,43.2,15,46.9,2017-01-01,191.0,SQUARE,SQUARE ROUND,SQUARETANGULAR_SOFT,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
100140AJH5236,KATE SPADE,IL,1,AJH,OR,00,100140,1001400AJH00,WOMAN,WOMAN,METAL,ACETATE,52,130.1,31.6,16,33.4,2017-01-01,201.0,RECTANGULAR,RECTANGULAR FARFANGULAR,SQUARETANGULAR_FARFANGULAR,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
100140U1F5236,KATE SPADE,IL,1,U1F,BL,00,100140,1001400U1F00,WOMAN,WOMAN,METAL,ACETATE,52,130.1,31.6,16,33.4,2017-01-01,201.0,RECTANGULAR,RECTANGULAR FARFANGULAR,SQUARETANGULAR_FARFANGULAR,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
100140U1F5436,KATE SPADE,IL,1,U1F,BL,00,100140,1001400U1F00,WOMAN,WOMAN,METAL,ACETATE,54,134.1,32.8,16,34.6,2017-01-01,201.0,RECTANGULAR,RECTANGULAR FARFANGULAR,SQUARETANGULAR_FARFANGULAR,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
100140WR75016,KATE SPADE,IL,1,WR7,BK,00,100140,1001400WR700,WOMAN,WOMAN,METAL,ACETATE,50,126.1,30.4,16,32.2,2017-01-01,201.0,RECTANGULAR,RECTANGULAR FARFANGULAR,SQUARETANGULAR_FARFANGULAR,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
100140WR75236,KATE SPADE,IL,1,WR7,BK,00,100140,1001400WR700,WOMAN,WOMAN,METAL,ACETATE,52,130.1,31.6,16,33.4,2017-01-01,201.0,RECTANGULAR,RECTANGULAR FARFANGULAR,SQUARETANGULAR_FARFANGULAR,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
100140WR75436,KATE SPADE,IL,1,WR7,BK,00,100140,1001400WR700,WOMAN,WOMAN,METAL,ACETATE,54,134.1,32.8,16,34.6,2017-01-01,201.0,RECTANGULAR,RECTANGULAR FARFANGULAR,SQUARETANGULAR_FARFANGULAR,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
100239LWP5316,MARC JACOBS,IL,1,LWP,CR,00,100239,1002390LWP00,WOMAN,WOMAN,ACETATE,METAL,53,134.5,37.1,16,40.3,2017-01-01,196.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
100343IPR5317,POLAROID,IL,1,IPR,HV,00,100343,1003430IPR00,WOMAN,WOMAN,ACETATE,ACETATE,53,135.98823529411763,38.0,17,41.142156862745054,2017-01-01,110.0,RECTANGULAR,RECTANGULAR FARFANGULAR,SQUARETANGULAR_FARFANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
100407PJP5517,CARRERA,IL,1,PJP,BL,00,100407,1004070PJP00,MAN,MAN,ACETATE,METAL,55,141.30916568742657,38.1,17,42.636009445100356,2017-04-01,242.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
100417JBW5116,KATE SPADE,IL,1,JBW,BL,00,100417,1004170JBW00,WOMAN,WOMAN,METAL,ACETATE,51,131.52857142857144,35.0,16,39.8095238095238,2017-04-01,202.0,RECTANGULAR,RECTANGULAR FARFANGULAR,SQUARETANGULAR_FARFANGULAR,NOFLATTOP,HALF RIM,SINGLE,HALF RIM
100417JBW5316,KATE SPADE,IL,1,JBW,BL,00,100417,1004170JBW00,WOMAN,WOMAN,METAL,ACETATE,53,135.98823529411763,36.3,16,41.142156862745054,2017-04-01,202.0,RECTANGULAR,RECTANGULAR FARFANGULAR,SQUARETANGULAR_FARFANGULAR,NOFLATTOP,HALF RIM,SINGLE,HALF RIM
100417WR75116,KATE SPADE,IL,1,WR7,BK,00,100417,1004170WR700,WOMAN,WOMAN,METAL,ACETATE,51,131.52857142857144,35.0,16,39.8095238095238,2017-04-01,202.0,RECTANGULAR,RECTANGULAR FARFANGULAR,SQUARETANGULAR_FARFANGULAR,NOFLATTOP,HALF RIM,SINGLE,HALF RIM
100417WR75316,KATE SPADE,IL,1,WR7,BK,00,100417,1004170WR700,WOMAN,WOMAN,METAL,ACETATE,53,135.98823529411763,36.3,16,41.142156862745054,2017-04-01,202.0,RECTANGULAR,RECTANGULAR FARFANGULAR,SQUARETANGULAR_FARFANGULAR,NOFLATTOP,HALF RIM,SINGLE,HALF RIM
100417WR95116,KATE SPADE,IL,1,WR9,BW,00,100417,1004170WR900,WOMAN,WOMAN,METAL,ACETATE,51,131.52857142857144,35.0,16,39.8095238095238,2017-04-01,202.0,RECTANGULAR,RECTANGULAR FARFANGULAR,SQUARETANGULAR_FARFANGULAR,NOFLATTOP,HALF RIM,SINGLE,HALF RIM
100417WR95316,KATE SPADE,IL,1,WR9,BW,00,100417,1004170WR900,WOMAN,WOMAN,METAL,ACETATE,53,135.98823529411763,36.3,16,41.142156862745054,2017-04-01,202.0,RECTANGULAR,RECTANGULAR FARFANGULAR,SQUARETANGULAR_FARFANGULAR,NOFLATTOP,HALF RIM,SINGLE,HALF RIM
100773INA5116,KATE SPADE,IL,1,INA,BK,00,100773,1007730INA00,WOMAN,WOMAN,ACETATE,ACETATE,51,134.89396551724138,40.9,16,42.60258620689654,2017-08-01,175.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101045PJP5618,TOMMY HILFIGER,IL,1,PJP,BL,00,101045,1010450PJP00,MAN,MAN,METAL,METAL,56,139.0,36.7,18,38.5,2018-01-01,196.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
101045R805418,TOMMY HILFIGER,IL,1,R80,GY,00,101045,1010450R8000,MAN,MAN,METAL,METAL,54,135.0,35.4,18,37.2,2022-08-01,196.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
101045R805618,TOMMY HILFIGER,IL,1,R80,GY,00,101045,1010450R8000,MAN,MAN,METAL,METAL,56,139.0,36.7,18,38.5,2018-01-01,196.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
101055WR75416,MARC JACOBS,IL,1,WR7,BK,00,101055,1010550WR700,WOMAN,WOMAN,ACETATE,METAL,54,137.0,37.6,16,40.5,2018-01-01,216.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101132PJP5417,MOSCHINO LOVE,IL,1,PJP,BL,00,101132,1011320PJP00,WOMAN,WOMAN,ACETATE,METAL,54,139.42580645161289,43.0,17,50.248387096774195,2018-01-01,155.0,CAT EYE,CAT EYE,CAT_EYE,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101132SK85417,MOSCHINO LOVE,IL,1,SK8,GN,00,101132,1011320SK800,WOMAN,WOMAN,ACETATE,METAL,54,139.42580645161289,44.55454545454545,17,50.248387096774195,2024-08-01,155.0,CAT EYE,CAT EYE,CAT_EYE,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101243FLL4819,SEVENTH STREET,IL,1,FLL,BL,00,101243,1012430FLL00,BOYTEEN (11-15),TEEN,ACETATE,ACETATE,48,126.68333333333332,36.5,19,37.34166666666667,2018-04-01,106.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOTFOUND,NOTFOUND,NOTFOUND,NOTFOUND
101299R6S4816,POLAROID KIDS,IL,1,R6S,GY,00,101299,1012990R6S00,JUNIOR (7-10),TEEN,INJECTED,INJECTED,48,125.6,35.7,16,37.22857142857142,2018-04-01,60.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101300D514518,POLAROID KIDS,IL,1,D51,BK,00,101300,1013000D5100,JUNIOR (7-10),TEEN,INJECTED,INJECTED,45,124.60000000000001,39.5,18,44.699999999999996,2021-01-01,60.0,PANTHOS,PANTOS,ROUNDISH,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101300MNG4518,POLAROID KIDS,IL,1,MNG,CR,00,101300,1013000MNG00,JUNIOR (7-10),TEEN,INJECTED,INJECTED,45,124.60000000000001,40.57142857142857,18,44.699999999999996,2024-04-01,60.0,PANTHOS,PANTOS,ROUNDISH,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101300O634518,POLAROID KIDS,IL,1,O63,HV,00,101300,1013000O6300,JUNIOR (7-10),TEEN,INJECTED,INJECTED,45,124.60000000000001,39.5,18,44.699999999999996,2018-04-01,60.0,PANTHOS,PANTOS,ROUNDISH,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101300RNB4518,POLAROID KIDS,IL,1,RNB,BL,00,101300,1013000RNB00,JUNIOR (7-10),TEEN,INJECTED,INJECTED,45,124.60000000000001,39.5,18,44.699999999999996,2021-01-01,60.0,PANTHOS,PANTOS,ROUNDISH,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101329INA5216,KATE SPADE,IL,1,INA,BK,00,101329,1013290INA00,WOMAN,WOMAN,ACETATE,ACETATE,52,134.0,36.1,16,40.5,2018-01-01,180.0,RECTANGULAR,RECTANGULAR CAT EYE,SQUARETANGULAR_CAT_EYE,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101329KL35016,KATE SPADE,IL,1,KL3,HV,00,101329,1013290KL300,WOMAN,WOMAN,ACETATE,ACETATE,50,131.0,34.5,16,39.5,2019-04-01,180.0,RECTANGULAR,RECTANGULAR CAT EYE,SQUARETANGULAR_CAT_EYE,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101329KL35216,KATE SPADE,IL,1,KL3,HV,00,101329,1013290KL300,WOMAN,WOMAN,ACETATE,ACETATE,52,134.0,36.1,16,40.5,2019-04-01,180.0,RECTANGULAR,RECTANGULAR CAT EYE,SQUARETANGULAR_CAT_EYE,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101329KL35416,KATE SPADE,IL,1,KL3,HV,00,101329,1013290KL300,WOMAN,WOMAN,ACETATE,ACETATE,54,137.0,37.7,16,41.5,2021-04-01,180.0,RECTANGULAR,RECTANGULAR CAT EYE,SQUARETANGULAR_CAT_EYE,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101329OO45016,KATE SPADE,IL,1,OO4,HV,00,101329,1013290OO400,WOMAN,WOMAN,ACETATE,ACETATE,50,131.0,34.5,16,39.5,2018-01-01,180.0,RECTANGULAR,RECTANGULAR CAT EYE,SQUARETANGULAR_CAT_EYE,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101329OO45216,KATE SPADE,IL,1,OO4,HV,00,101329,1013290OO400,WOMAN,WOMAN,ACETATE,ACETATE,52,134.0,36.1,16,40.5,2018-01-01,180.0,RECTANGULAR,RECTANGULAR CAT EYE,SQUARETANGULAR_CAT_EYE,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101329OO45416,KATE SPADE,IL,1,OO4,HV,00,101329,1013290OO400,WOMAN,WOMAN,ACETATE,ACETATE,54,137.0,37.7,16,41.5,2021-04-01,180.0,RECTANGULAR,RECTANGULAR CAT EYE,SQUARETANGULAR_CAT_EYE,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101331JBW5216,KATE SPADE,IL,1,JBW,BL,00,101331,1013310JBW00,WOMAN,WOMAN,METAL,ACETATE,52,132.0,39.3,16,42.5,2018-01-01,201.0,RECTANGULAR,RECTANGULAR TRIANGULAR,CAT_EYE,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101332INA5117,KATE SPADE,IL,1,INA,BK,00,101332,1013320INA00,WOMAN,WOMAN,METAL,ACETATE,51,135.42045454545453,33.6,17,135.42045454545453,2018-01-01,200.0,OVAL,RECTANGULAR OVAL,OVAL,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
101332JBW5117,KATE SPADE,IL,1,JBW,BL,00,101332,1013320JBW00,WOMAN,WOMAN,METAL,ACETATE,51,135.42045454545453,33.6,17,135.42045454545453,2018-01-01,200.0,OVAL,RECTANGULAR OVAL,OVAL,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
101435H0H5115,FOSSIL,IL,1,H0H,HV,00,101435,1014350H0H00,WOMAN,WOMAN,ACETATE,ACETATE,51,134.89396551724138,38.6,15,42.60258620689654,2018-04-01,132.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101435H0H5315,FOSSIL,IL,1,H0H,HV,00,101435,1014350H0H00,WOMAN,WOMAN,ACETATE,ACETATE,53,136.5527196652719,40.1,15,43.43390557939913,2018-04-01,132.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101436FRE5016,FOSSIL,IL,1,FRE,GY,00,101436,1014360FRE00,WOMAN,WOMAN,METAL,ACETATE,51,131.52857142857144,38.5,16,39.8095238095238,2018-04-01,132.0,RECTANGULAR,RECTANGULAR FARFANGULAR,SQUARETANGULAR_FARFANGULAR,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
101436FRE5216,FOSSIL,IL,1,FRE,GY,00,101436,1014360FRE00,WOMAN,WOMAN,METAL,ACETATE,53,135.98823529411763,40.0,16,41.142156862745054,2018-04-01,132.0,RECTANGULAR,RECTANGULAR FARFANGULAR,SQUARETANGULAR_FARFANGULAR,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
101438HT85416,KATE SPADE,IL,1,HT8,PK,00,101438,1014380HT800,WOMAN,WOMAN,ACETATE,ACETATE,54,137.19824561403513,40.2,16,42.22456140350875,2018-04-01,191.0,RECTANGULAR,RECTANGULAR FARFANGULAR,SQUARETANGULAR_FARFANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101439B3V5117,KATE SPADE,IL,1,B3V,VL,00,101439,1014390B3V00,WOMAN,WOMAN,METAL,METAL,51,135.52205882352936,37.2,17,135.52205882352936,2021-01-01,201.0,RECTANGULAR,RECTANGULAR TRIANGULAR,CAT_EYE,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
101439B3V5317,KATE SPADE,IL,1,B3V,VL,00,101439,1014390B3V00,WOMAN,WOMAN,METAL,METAL,53,134.57209302325583,38.6,17,43.123255813953485,2021-01-01,201.0,RECTANGULAR,RECTANGULAR TRIANGULAR,CAT_EYE,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
101439LHF5117,KATE SPADE,IL,1,LHF,BU,00,101439,1014390LHF00,WOMAN,WOMAN,METAL,METAL,51,135.52205882352936,37.2,17,135.52205882352936,2021-08-01,201.0,RECTANGULAR,RECTANGULAR TRIANGULAR,CAT_EYE,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
101439LHF5317,KATE SPADE,IL,1,LHF,BU,00,101439,1014390LHF00,WOMAN,WOMAN,METAL,METAL,53,134.57209302325583,38.6,17,43.123255813953485,2021-08-01,201.0,RECTANGULAR,RECTANGULAR TRIANGULAR,CAT_EYE,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
101439PJP5117,KATE SPADE,IL,1,PJP,BL,00,101439,1014390PJP00,WOMAN,WOMAN,METAL,METAL,51,135.52205882352936,37.2,17,135.52205882352936,2018-04-01,201.0,RECTANGULAR,RECTANGULAR TRIANGULAR,CAT_EYE,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
101439PJP5317,KATE SPADE,IL,1,PJP,BL,00,101439,1014390PJP00,WOMAN,WOMAN,METAL,METAL,53,134.57209302325583,38.6,17,43.123255813953485,2018-04-01,201.0,RECTANGULAR,RECTANGULAR TRIANGULAR,CAT_EYE,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
101548R805518,CARRERA,IL,1,R80,GY,00,101548,1015480R8000,MAN,MAN,METAL,METAL,55,141.30916568742657,38.1,18,42.636009445100356,2018-08-01,283.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
101561BLX5518,HUGO,IL,1,BLX,BK,00,101561,1015610BLX00,MAN,MAN,METAL,ACETATE,55,141.30916568742657,34.8,18,42.636009445100356,2018-08-01,157.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
