SKU_COD,MODEL_COD,BRAND_DES,MD_SKU_STATUS_COD,PRODUCT_TYPE_COD,COLOR,COLOR_FAMILY_1_DES,ZLENSCODE,filename_root,USERGENDER_DES,CTM_FIRST_FRONT_MATERIAL_DES,SHAPE_SEMI_GROUPED,GRANULAR_SHAPE_AWS,CTM_FIRST_TEMPLE_MATERIAL_DES,FlatTop_FlatTop_1,SIZE_COD,LENSHEIGHTVAL,BRIDGE_LENGTH,LENS_BASE,RIM_TYPE_DES
100035FG45217,100035,JUICY COUTURE,IL,1,FG4,BW,00,1000350FG400,WOMAN,METAL,SQUARETANGULAR,RECTANGULAR,METAL,NOFLATTOP,52,39.4,17,6,FULL RIM
100046WR75217,100046,JUICY COUTURE,IL,1,WR7,BK,00,1000460WR700,WOMAN,ACETATE,SQUARETANGULAR,RECTANGULAR,ACETATE,NOFLATTOP,52,41.3,17,4,FULL RIM
100075PJP5417,100075,TOMMY HILFIGER,IL,1,PJP,BL,00,1000750PJP00,MAN,METAL,SQUARETANGULAR,RECTANGULAR,INJECTED,NOFLATTOP,54,32.0,17,6,FULL RIM
100138OO45215,100138,KATE SPADE,IL,1,OO4,HV,00,1001380OO400,WOMAN,ACETATE,SQUARETANGULAR_SOFT,RECTANGULAR ROUND,ACETATE,NOFLATTOP,52,43.2,15,4,FULL RIM
100140AJH5236,100140,KATE SPADE,IL,1,AJH,OR,00,1001400AJH00,WOMAN,METAL,SQUARETANGULAR_FARFANGULAR,RECTANGULAR FARFANGULAR,ACETATE,NOFLATTOP,52,31.6,16,4,FULL RIM
100140U1F5236,100140,KATE SPADE,IL,1,U1F,BL,00,1001400U1F00,WOMAN,METAL,SQUARETANGULAR_FARFANGULAR,RECTANGULAR FARFANGULAR,ACETATE,NOFLATTOP,52,31.6,16,4,FULL RIM
100140U1F5436,100140,KATE SPADE,IL,1,U1F,BL,00,1001400U1F00,WOMAN,METAL,SQUARETANGULAR_FARFANGULAR,RECTANGULAR FARFANGULAR,ACETATE,NOFLATTOP,54,32.8,16,4,FULL RIM
100140WR75016,100140,KATE SPADE,IL,1,WR7,BK,00,1001400WR700,WOMAN,METAL,SQUARETANGULAR_FARFANGULAR,RECTANGULAR FARFANGULAR,ACETATE,NOFLATTOP,50,30.4,16,4,FULL RIM
100140WR75236,100140,KATE SPADE,IL,1,WR7,BK,00,1001400WR700,WOMAN,METAL,SQUARETANGULAR_FARFANGULAR,RECTANGULAR FARFANGULAR,ACETATE,NOFLATTOP,52,31.6,16,4,FULL RIM
100140WR75436,100140,KATE SPADE,IL,1,WR7,BK,00,1001400WR700,WOMAN,METAL,SQUARETANGULAR_FARFANGULAR,RECTANGULAR FARFANGULAR,ACETATE,NOFLATTOP,54,32.8,16,4,FULL RIM
100203WR74919,100203,KATE SPADE,IL,1,WR7,BK,00,1002030WR700,WOMAN,METAL,ROUNDISH,PANTOS,ACETATE,NOFLATTOP,49,44.5,19,3,FULL RIM
100239LWP5316,100239,MARC JACOBS,IL,1,LWP,CR,00,1002390LWP00,WOMAN,ACETATE,SQUARETANGULAR,RECTANGULAR,METAL,NOFLATTOP,53,37.1,16,4,FULL RIM
100343IPR5317,100343,POLAROID,IL,1,IPR,HV,00,1003430IPR00,WOMAN,ACETATE,SQUARETANGULAR_FARFANGULAR,RECTANGULAR FARFANGULAR,ACETATE,NOFLATTOP,53,38.0,17,4,FULL RIM
100407PJP5517,100407,CARRERA,IL,1,PJP,BL,00,1004070PJP00,MAN,ACETATE,SQUARETANGULAR,RECTANGULAR,METAL,NOFLATTOP,55,38.1,17,4,FULL RIM
100417JBW5116,100417,KATE SPADE,IL,1,JBW,BL,00,1004170JBW00,WOMAN,METAL,SQUARETANGULAR_FARFANGULAR,RECTANGULAR FARFANGULAR,ACETATE,NOFLATTOP,51,35.0,16,6,HALF RIM
100417JBW5316,100417,KATE SPADE,IL,1,JBW,BL,00,1004170JBW00,WOMAN,METAL,SQUARETANGULAR_FARFANGULAR,RECTANGULAR FARFANGULAR,ACETATE,NOFLATTOP,53,36.3,16,6,HALF RIM
100417WR75116,100417,KATE SPADE,IL,1,WR7,BK,00,1004170WR700,WOMAN,METAL,SQUARETANGULAR_FARFANGULAR,RECTANGULAR FARFANGULAR,ACETATE,NOFLATTOP,51,35.0,16,6,HALF RIM
100417WR75316,100417,KATE SPADE,IL,1,WR7,BK,00,1004170WR700,WOMAN,METAL,SQUARETANGULAR_FARFANGULAR,RECTANGULAR FARFANGULAR,ACETATE,NOFLATTOP,53,36.3,16,6,HALF RIM
100417WR95116,100417,KATE SPADE,IL,1,WR9,BW,00,1004170WR900,WOMAN,METAL,SQUARETANGULAR_FARFANGULAR,RECTANGULAR FARFANGULAR,ACETATE,NOFLATTOP,51,35.0,16,6,HALF RIM
100417WR95316,100417,KATE SPADE,IL,1,WR9,BW,00,1004170WR900,WOMAN,METAL,SQUARETANGULAR_FARFANGULAR,RECTANGULAR FARFANGULAR,ACETATE,NOFLATTOP,53,36.3,16,6,HALF RIM
100701DLD5121,100701,SEVENTH STREET,NF,1,DLD,GN,00,1007010DLD00,MAN,ACETATE,SQUARETANGULAR,RECTANGULAR,ACETATE,NOFLATTOP,51,28.3,21,4,FULL RIM
100735FY65317,100735,JUICY COUTURE,IL,1,FY6,HV,00,1007350FY600,WOMAN,ACETATE,SQUARETANGULAR,RECTANGULAR,ACETATE,NOFLATTOP,53,37.6,17,4,FULL RIM
100773INA5116,100773,KATE SPADE,IL,1,INA,BK,00,1007730INA00,WOMAN,ACETATE,SQUARETANGULAR,RECTANGULAR,ACETATE,NOFLATTOP,51,40.9,16,4,FULL RIM
