MODEL_COD,filename_root,PRESENT
102087,10208702M200,YES
102087,1020870ECJ00,YES
104764,104764038I00,YES
104765,10476506AK00,YES
105913,10591305MZ00,YES
106830,10683003OL00,YES
106833,106833038I00,YES
107124,10712406K300,YES
107793,1077930ZI900,YES
107819,1078190S6F00,YES
108450,10845008KB00,YES
108450,1084500ZI900,YES
109207,10920706AK00,YES
109256,10925601JP00,YES
109256,10925602T200,YES
109263,10926302ZR00,YES
109263,10926303LG00,YES
109263,1092630M5C00,YES
109312,1093120GUU00,YES
109312,1093120PHW00,YES
109318,10931800T700,YES
109318,10931801ED00,YES
109726,10972605F600,YES
109726,1097260RHL00,YES
109731,1097310BSU00,YES
109731,1097310J5G00,YES
109732,109732009Q00,YES
109732,1097320B3V00,YES
109734,10973406LB00,YES
109734,1097340J5G00,YES
109734,1097340KJ100,YES
109735,10973506AK00,YES
109771,1097710IPR00,YES
109772,1097720IPR00,YES
109774,1097740IPR00,YES
109801,1098010H1600,YES
109803,1098030R2H00,YES
109804,1098040B5900,YES
109804,1098040KB700,YES
109804,1098040WR900,YES
109815,10981502RR00,YES
109816,10981602RR00,YES
109816,10981608RU00,YES
109823,10982305MO00,YES
109847,109847037N00,YES
109848,1098480C9A00,YES
109896,109896009Q00,YES
109897,10989708CQ00,YES
110029,1100290WIR00,YES
110037,1100370WIR00,YES
110051,110051035J00,YES
110051,1100510B3V00,YES
110052,11005203U500,YES
110052,1100520PJP00,YES
110139,110139035J00,YES
110139,1101390ZI900,YES
110143,110143035J00,YES
110263,1102630RZZ00,YES
110410,1104100JBW00,YES
110410,1104100OO400,YES
110410,1104100TAY00,YES
110411,1104110QGX00,YES
110411,1104110TAY00,YES
110412,1104120IPR00,YES
110412,1104120QGX00,YES
110412,1104120VDY00,YES
110413,1104130QFO00,YES
110413,1104130W0800,YES
110413,1104130W4A00,YES
110414,11041401ED00,YES
110414,110414085W00,YES
110414,1104140HT800,YES
110459,11045904C300,YES
110459,1104590KB700,YES
110465,11046506LB00,YES
110465,1104650AOZ00,YES
110465,1104650KJ100,YES
110465,1104650R8100,YES
110469,1104690KB700,YES
110469,1104690PJP00,YES
110475,11047509N400,YES
110475,1104750B3V00,YES
110475,1104750ZI900,YES
110477,110477009Q00,YES
110477,11047701ED00,YES
110477,1104770KB700,YES
110490,1104900C9A00,YES
110490,1104900KB700,YES
110490,1104900MVU00,YES
110491,1104910FIB00,YES
110491,1104910J5G00,YES
110491,1104910LKS00,YES
110491,1104910LOJ00,YES
110492,11049202M200,YES
110492,1104920DDB00,YES
110492,1104920FIB00,YES
110492,1104920LOJ00,YES
110493,1104930J5G00,YES
110493,1104930KJ100,YES
110493,1104930R8000,YES
110494,1104940B3V00,YES
110494,1104940FWM00,YES
110494,1104940IPR00,YES
110495,11049508YW00,YES
110495,1104950C9A00,YES
110495,1104950KB700,YES
110496,1104960C9A00,YES
110496,1104960ZI900,YES
110497,1104970C9A00,YES
110497,1104970FWM00,YES
110498,110498010A00,YES
110498,1104980XW000,YES
110499,1104990DLD00,YES
110499,1104990PJP00,YES
110500,1105000N9P00,YES
110500,1105000PJP00,YES
110501,11050104C300,YES
110501,1105010PJP00,YES
110502,1105020CBL00,YES
110502,1105020PJP00,YES
110503,1105030DDB00,YES
110503,1105030EYR00,YES
110503,1105030J5G00,YES
110503,1105030PEF00,YES
110504,1105040DDB00,YES
110504,1105040EYR00,YES
110504,1105040J5G00,YES
110504,1105040PEF00,YES
110513,1105130LHF00,YES
110513,1105130WR700,YES
110515,11051500MY00,YES
110515,1105150ZI900,YES
110522,1105220B3V00,YES
110522,1105220WR700,YES
110523,1105230DDB00,YES
110523,1105230J5G00,YES
110525,1105250J5G00,YES
110525,1105250PEF00,YES
110526,11052602M200,YES
110526,1105260PY300,YES
110527,110527009Q00,YES
110527,11052702M000,YES
110535,1105350LHF00,YES
110535,1105350WR700,YES
110538,110538035J00,YES
110538,1105380LHF00,YES
110539,11053901ED00,YES
110539,110539035J00,YES
110640,11064002M200,YES
110640,1106400WR700,YES
