MODEL_COD,filename_root,PRESENT
101055,1010550WR700,NO
101243,1012430FLL00,NO
101836,101836009Q00,NO
101837,1018370J5G00,NO
102459,1024590HT800,NO
102462,1024620FL400,NO
102465,1024650BR000,NO
102710,1027100V8100,NO
102723,10272306LB00,NO
102822,1028220J5G00,NO
103271,1032710FWM00,NO
105562,1055620KAY00,NO
105615,10561507ZJ00,NO
105615,1056150OXZ00,NO
105629,105629026S00,NO
105629,1056290J5G00,NO
105632,1056320FLL00,NO
105632,1056320SVK00,NO
105633,1056330IPQ00,NO
105633,1056330R8000,NO
105634,1056340FLL00,NO
105634,1056340N9P00,NO
105634,1056340RIW00,NO
105635,1056350FLL00,NO
105799,105799035J00,NO
105816,1058160KB700,NO
105818,1058180BSC00,NO
105949,10594907RM00,NO
106309,1063090FJM00,NO
106725,1067250FG400,NO
107118,10711809VO00,NO
107118,1071180TAY00,NO
107234,1072340HAM00,NO
107234,1072340ZI900,NO
108176,10817601S700,NO
108176,1081760GUU00,NO
108226,10822601S700,NO
108226,1082260ETJ00,NO
108469,1084690FWM00,NO
108469,1084690PJP00,NO
108774,10877402TB00,NO
108774,1087740IWI00,NO
109190,10919004FZ00,NO
109190,10919007T300,NO
109190,1091900VTH00,NO
110176,11017602M200,NO
110316,11031601ED00,NO
110319,1103190HKZ00,NO
110320,11032001ED00,NO
110321,1103210JBW00,NO
110323,1103230PJP00,NO
110356,1103560LHF00,NO
110802,1108020GYB00,NO
110802,1108020UNN00,NO
110923,11092303LG00,NO
110923,110923063M00,NO
110923,1109230GIE00,NO
110923,1109230OXZ00,NO
110925,11092503YG00,NO
110925,1109250DM200,NO
110926,11092600T700,NO
110926,11092601ED00,NO
110926,110926035J00,NO
110927,11092700T400,NO
110927,11092702RO00,NO
110927,11092703XJ00,NO
110930,110930009Q00,NO
110930,11093000OX00,NO
110932,11093203CE00,NO
110932,11093203YG00,NO
110932,11093206LB00,NO
110932,1109320KJ100,NO
110940,11094003XJ00,NO
110940,110940063M00,NO
111790,11179002LF00,NO
111790,1117900ZI900,NO
111791,1117910C9A00,NO
111791,1117910HAM00,NO
111792,1117920FWM00,NO
111792,1117920PJP00,NO
111793,1117930FWM00,NO
111793,1117930ZI900,NO
111807,11180701ED00,NO
111807,11180702LF00,NO
111807,1118070OHO00,NO
111808,11180801ED00,NO
111808,1118080FWM00,NO
111808,1118080WR900,NO
111818,11181806K300,NO
111818,1118180OGA00,NO
111818,1118180RHL00,NO
111849,11184902IK00,NO
111849,111849083Q00,NO
111849,11184909G000,NO
111896,11189605DN00,NO
111896,1118960JTG00,NO
111896,1118960MYA00,NO
111899,111899009Q00,NO
111899,1118990HKZ00,NO
111899,1118990PJP00,NO
111900,1119000A3000,NO
111900,1119000DQ200,NO
111900,1119000MYA00,NO
111900,1119000P6J00,NO
111902,111902008M00,NO
111902,11190200IH00,NO
111902,11190206CR00,NO
111905,111905009Q00,NO
111911,1119110HKZ00,NO
111911,1119110KB700,NO
111915,1119150PJP00,NO
111916,11191602RR00,NO
111917,11191701ED00,NO
111917,1119170HT800,NO
111917,1119170QM400,NO
111922,111922006J00,NO
111922,1119220J5G00,NO
111922,1119220YB700,NO
111924,1119240QM400,NO
114350,1143500DA400,NO
114352,1143520JYY00,NO
114352,1143520X7700,NO
114352,1143520X7800,NO
116867,1168670R2L00,NO
127451,1274510OKN00,NO
147592,1475920J2900,NO
147592,1475920R1W00,NO
147598,1475980QGX00,NO
200180,2001800003M9,NO
200627,2006270N9PM9,NO
203843,20384302M2Z7,NO
204094,204094008AT4,NO
204150,2041500000GB,NO
204150,2041500J5GTH,NO
204479,2044790JR9HA,NO
204529,20452908079O,NO
204592,2045920JR9HA,NO
204602,2046020V81IR,NO
204604,20460408079O,NO
204744,2047440KJ1HE,NO
204941,2049410086HA,NO
204941,20494108079O,NO
204942,2049420086HA,NO
204942,20494208079O,NO
205536,2055360JR9HA,NO
205559,2055590WR9SP,NO
205571,20557100OXUC,NO
205571,2055710C9BC3,NO
205595,2055950OXZC3,NO
205600,2056000086IR,NO
205600,2056000OXZKU,NO
205608,20560800OXUC,NO
205608,2056080C9BC3,NO
205802,20580201EDUC,NO
205802,20580207ZJUC,NO
205802,2058020900C3,NO
205802,20580209N4SP,NO
205911,20591109VOHA,NO
205911,2059110TAY9O,NO
206593,206593010ASP,NO
206593,2065930PHWUC,NO
206593,2065930UIHC3,NO
206685,20668501ED9K,NO
206685,2066850PJPO9,NO
206815,20681500WMHA,NO
206815,2068150IWI9O,NO
206848,2068480AGDHA,NO
206848,2068480IPA9O,NO
206865,206865035JSP,NO
207323,20732304979O,NO
207323,2073230WR7HA,NO
208125,2081250JBWC3,NO
208594,20859400OX9O,NO
208594,2085940789HA,NO
208594,20859408079O,NO
208594,2085940SX7HA,NO
208596,20859603YG9O,NO
208596,20859606LBFF,NO
208596,2085960FG4HA,NO
208598,20859801EDHA,NO
208598,2085980807HA,NO
208598,2085980S109O,NO
208598,2085980SX7HA,NO
208601,20860100OX70,NO
208601,2086010807IR,NO
208601,2086010EX4IR,NO
208601,2086010N9P70,NO
208603,20860303YGQT,NO
208603,20860306LB70,NO
208603,2086030KJ1IR,NO
208604,20860403XJQT,NO
208604,208604063M70,NO
208604,2086040807IR,NO
208604,2086040FL470,NO
208843,2088430807HO,NO
208843,2088430807IR,NO
208843,2088430C9AU1,NO
208843,2088430C9B70,NO
208843,2088430ZI9QT,NO
208844,2088440086HA,NO
208844,20884402LFTX,NO
208844,2088440807IR,NO
208844,2088440ZI99O,NO
208857,2088570086HA,NO
208857,2088570807IR,NO
208857,2088570SZJKU,NO
208858,2088580086HA,NO
208858,20885808079O,NO
208858,2088580LHFTX,NO
208858,2088580PJP9O,NO
208862,20886202LFHA,NO
208862,20886208079O,NO
208862,2088620OHOHA,NO
208862,2088620PJP9O,NO
208863,20886301ED9K,NO
208863,20886308079O,NO
208863,2088630JR9IR,NO
208863,2088630WR9KU,NO
208876,2088760807IR,NO
208876,2088760C9BQT,NO
208876,2088760SZJKU,NO
208877,20887703MAUR,NO
208877,20887708GX9O,NO
208877,2088770HBN9K,NO
208904,2089040086HA,NO
208904,208904009Q70,NO
208904,20890406CR9O,NO
208904,20890408079O,NO
208905,208905009Q3X,NO
208905,208905082U3X,NO
208905,2089050PJP9O,NO
208905,2089050WR7HA,NO
208906,2089060086HA,NO
208906,20890600MYHA,NO
208906,20890608079O,NO
208906,2089060INAWJ,NO
208906,2089060PJP9O,NO
208907,20890700863X,NO
208907,2089070807HA,NO
208907,2089070P8J3X,NO
208907,2089070PJPHA,NO
208908,20890800863X,NO
208908,20890806CR9O,NO
208908,2089080807IR,NO
208908,2089080PJP9O,NO
208910,2089100086HA,NO
208910,20891008079O,NO
208910,208910084E3X,NO
208910,2089100MYA9O,NO
208911,208911009QHA,NO
208911,2089110PEF9O,NO
208911,2089110RHL9O,NO
208913,2089130086HA,NO
208913,20891308079O,NO
208913,2089130PJP9O,NO
208915,2089150WR79O,NO
208915,2089150X199O,NO
208917,2089170807IR,NO
208917,2089170AXJIR,NO
208918,2089180086QT,NO
208918,2089180807KU,NO
208918,2089180LHF70,NO
208918,2089180QM4IR,NO
208918,2089180VK69O,NO
208919,208919063M70,NO
208919,2089190807IR,NO
208919,2089190AXJQT,NO
208920,2089200086QT,NO
208920,2089200807IR,NO
208920,2089200AXJ70,NO
208920,2089200LHFU1,NO
208920,2089200PJPIR,NO
208921,2089210086UR,NO
208921,208921035JQT,NO
208921,2089210807IR,NO
208921,2089210QM49O,NO
208922,2089220086U1,NO
208922,208922063M70,NO
208922,2089220LHFU1,NO
208924,208924009Q70,NO
208924,2089240807IR,NO
208924,2089240PJPIR,NO
208925,208925065TU1,NO
208925,208925071CHO,NO
208925,20892507ZJQT,NO
208925,2089250IPR08,NO
208927,2089270086UR,NO
208927,20892700OX70,NO
208927,2089270807IR,NO
208927,2089270900KU,NO
208927,2089270PHWQT,NO
208928,2089280086KU,NO
208928,20892803DV70,NO
208928,2089280807IR,NO
208928,2089280LHFHA,NO
208928,2089280PJPIR,NO
208930,208930001Q70,NO
208930,208930079DIR,NO
208930,2089300807IR,NO
208930,2089300RHLIR,NO
208932,2089320086QT,NO
208932,208932063MKU,NO
208932,208932071CHO,NO
208932,2089320807IR,NO
208933,208933079D9O,NO
208933,2089330LKSIR,NO
208933,2089330PEFQT,NO
208933,2089330SCBKU,NO
208935,208935063M70,NO
208935,2089350807IR,NO
208935,2089350IPRKU,NO
208935,2089350PHWQT,NO
209043,2090430003M9,NO
209046,2090460DDBSP,NO
209046,2090460J5GWJ,NO
209047,2090470J5GUC,NO
209047,2090470KJ1M9,NO
209050,2090500003M9,NO
209050,20905006LBUC,NO
209051,20905106LBSP,NO
209051,2090510807M9,NO
209052,2090520807M9,NO
209052,2090520MVUC3,NO
209053,2090530010M9,NO
209053,2090530DDBWJ,NO
209053,2090530NOAKL,NO
209054,2090540003UC,NO
209054,20905406LBM9,NO
209054,2090540J5GM9,NO
209063,20906302F7M9,NO
209063,2090630DDBUC,NO
209063,2090630EYRGC,NO
209064,20906402F7M9,NO
209064,2090640DDBUC,NO
209064,2090640LKSZ7,NO
209065,209065010ALA,NO
209065,209065035JJQ,NO
209065,2090650MVUHE,NO
209065,2090650RIWLM,NO
213877,2138770EUTY6,NO
213877,2138770JUHY6,NO
213916,2139160EBPVW,NO
213916,2139160EDPRA,NO
217275,2172750A4XY2,NO
217290,21729000BMLA,NO
217290,2172900KIHIX,NO
217331,2173310C6TJR,NO
217338,2173380KIHY2,NO
217497,21749709CARC,NO
217497,2174970SZAY2,NO
217512,21751209CARC,NO
223744,22374409KQRA,NO
223744,2237440TJAVW,NO
227407,2274070CVLY2,NO
227506,2275060086Y6,NO
227506,2275060JLQY7,NO
227506,2275060PJPOS,NO
227506,2275060XNZY6,NO
230159,2301590CX4VW,NO
233658,2336580DL5Y2,NO
240271,2402710XAV9O,NO
240271,2402710XAXIC,NO
240271,2402710XSZ9O,NO
246286,2462860000HA,NO
246286,2462860W89Y6,NO
246286,2462860YB7Y7,NO
247381,2473810A3XRC,NO
247381,2473810B9WY2,NO
247385,24738509CARC,NO
247392,247392010ALA,NO
247392,2473920KIHIX,NO
247403,2474030KIHIX,NO
257511,25751100FPCC,NO
257511,2575110I7TCC,NO
543189,54318907A100,NO
710374,71037405ZJ00,NO
716425,7164250BGL00,NO
740142,7401420KKM00,NO
740143,7401430KKM00,NO
757009,757009010G00,NO
